Protein	Gene	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
Disintegrin and metalloproteinase domain-containing protein 10	ADAM10	20.95626	22.46583	19.38883	19.73271	20.2885	22.03076	20.65596	21.94293	20.359	20.05722	21.31849	21.87796	21.67112	20.16022	18.6601	19.76958	21.11895	20.6988	22.12237	21.60765	20.56393	20.16681	19.2731	19.93977	22.32312	20.46752	20.11079	20.21178	18.83545	20.93948	20.464	20.15116
CDP-diacylglycerol--inositol 3-phosphatidyltransferase	CDIPT	22.63934	24.453	22.49904	23.1542	23.56674	22.80041	20.78336	22.65189	22.29369	22.13605	22.67194	23.635	22.28608	22.99719	23.41321	21.85506	19.86087	22.88513	22.74626	22.70605	22.24919	19.08969	22.95533	21.97547	19.86495	23.144	22.67463	23.13898	23.00972	19.46568	21.6313	22.25671
Programmed cell death protein 5	PDCD5	25.7842	26.11287	26.15219	25.82558	26.27946	25.59337	23.35946	24.4534	25.97039	26.27734	25.40869	26.26356	25.55106	25.09054	24.46696	25.9014	26.16373	25.5166	25.51209	26.10496	25.61077	25.06532	25.005	25.7406	25.84184	25.16801	25.38438	26.06908	25.54455	25.28075	24.83858	25.584
Protein arginine N-methyltransferase 5	PRMT5	23.88762	23.78743	23.08014	23.32805	24.31136	24.3387	23.3798	21.20373	23.66295	22.83007	23.17737	22.78892	22.43876	23.55386	20.25936	22.89008	22.32975	23.54459	24.1306	23.74089	23.06241	22.95982	22.97565	23.19371	22.7827	22.87944	23.65635	22.99959	24.64056	23.64876	22.98325	22.71542
Na(+)/H(+) exchange regulatory cofactor NHE-RF1	SLC9A3R1	24.66505	25.38055	24.75777	24.36504	25.32878	25.29357	24.17445	24.27756	23.99717	24.20531	23.622	24.59394	24.92634	23.84711	24.51514	24.25206	21.1483	23.06948	23.21034	23.46733	23.57215	22.95237	24.08365	24.21738	20.391	22.16003	23.02917	21.30409	23.77515	23.79607	24.18257	24.88367
Isoform 2 of Tripeptidyl-peptidase 1	TPP1	22.96333	23.92153	22.77168	22.69807	22.43035	23.10517	22.69537	22.24407	21.14604	21.19637	19.24748	21.30012	21.92212	22.4509	22.00885	20.26684	20.12611	21.65945	18.9793	21.89308	21.76818	21.80986	20.24372	21.51412	20.57034	21.2933	19.66652	20.4426	21.79349	22.41604	21.52838	22.07615
Isoform 3 of Guanine nucleotide-binding protein subunit beta-5	GNB5	19.86597	20.37773	24.26306	24.69238	24.182	20.53112	24.13234	24.78836	24.18513	18.93845	25.26493	24.71377	23.97662	24.72395	21.20874	24.51762	25.4133	20.93823	25.33637	24.69722	24.69088	24.99353	24.28652	24.82394	24.89374	24.61054	24.8556	24.87296	24.54828	24.85343	24.39277	24.15752
Isoform 2 of Transcription elongation regulator 1	TCERG1	22.58267	22.48195	23.90583	24.25854	22.85452	23.35421	20.58126	21.01038	22.72065	21.66397	22.55822	20.47181	21.62636	19.68759	18.64086	20.05761	23.48112	22.57697	21.89345	22.70152	21.35123	18.72321	22.54366	21.59547	23.68379	23.43272	24.04105	23.9569	23.39265	22.90789	22.64407	23.22723
Isoform 2 of Transportin-2	TNPO2	23.91616	24.56315	25.06796	26.24374	24.04361	24.69067	23.03782	23.74618	24.88503	25.69637	25.16863	25.60379	24.75734	25.12536	25.492	24.73949	24.27069	24.33346	25.33272	25.45562	24.96227	25.39597	24.42935	24.71221	23.43177	24.22408	25.2849	25.55445	24.95712	25.50447	25.02509	24.88518
Ras-related protein M-Ras	MRAS	19.90431	20.33462	20.22437	19.73173	20.64026	18.29332	23.30229	24.58545	19.41926	22.80326	21.44086	21.82055	22.13065	19.57932	22.51831	19.32444	24.20729	22.71563	21.58206	21.98729	21.89034	21.24266	22.34928	19.39911	22.18641	23.04921	19.58689	21.37488	21.91619	21.25442	21.31152	22.03635
Proteasome subunit alpha type-7	PSMA7	25.89374	26.22818	26.60073	26.76689	26.67376	26.45387	25.21421	25.7524	25.79736	25.51302	25.62788	26.17336	25.55531	25.3079	25.16021	24.14614	25.33788	25.25271	25.79309	25.59542	25.12167	25.57853	25.28971	24.49002	26.07389	24.94627	26.20051	26.33085	25.65634	26.20398	25.72976	25.04541
Microsomal glutathione S-transferase 3	MGST3	22.24585	23.79632	22.70513	20.51442	22.46413	20.57325	24.80767	25.74987	22.56461	22.7827	21.85451	19.54393	21.55956	21.28606	20.91436	22.0925	26.05849	21.92956	19.34574	18.64454	20.74227	23.08728	20.50956	22.32878	27.13345	25.42691	22.05178	21.68162	21.69929	23.28221	21.50855	21.87994
Tax1-binding protein 3	TAX1BP3	22.51786	23.78786	22.28888	23.21212	24.30048	19.50392	19.52507	22.49892	23.9179	19.85891	22.99094	23.64993	23.079	23.08232	23.19753	22.46886	23.29193	22.78027	22.98398	23.31682	22.5871	22.3799	22.54707	22.39816	23.92297	20.67991	22.30994	23.51468	22.69958	22.66837	22.15307	22.30694
Isoform 2 of Protocadherin-17	PCDH17	23.98568	23.46852	24.28712	22.44464	23.72338	23.52718	23.87286	23.51376	22.95117	23.06077	22.19312	22.04733	22.94141	22.61515	22.96941	22.60306	23.89519	23.13124	23.45047	22.97685	23.86703	23.31224	23.39755	22.72872	23.85605	23.14221	22.00904	21.88479	22.57298	21.93251	23.41526	22.33865
Isoform 3 of Peripheral plasma membrane protein CASK	CASK	22.8857	23.64063	23.25072	24.58319	22.63247	23.35994	25.22139	25.77952	25.09151	25.04618	24.95792	25.34028	25.23531	25.249	25.78823	24.62745	25.25029	24.54746	25.11231	25.61427	24.51283	25.36633	24.90568	24.94264	24.39939	25.01003	24.06475	24.323	24.09031	24.45033	24.0065	24.54038
Cytochrome b-c1 complex subunit 8	UQCRQ	23.48186	23.06653	24.17525	22.99873	22.42562	22.89086	22.3483	22.82015	22.6485	20.08289	23.24881	18.16243	22.37606	20.17371	24.16881	23.28061	22.4996	22.29622	23.89819	24.29924	23.17336	18.93548	23.5479	23.86074	23.30599	24.14311	24.10124	24.60043	23.44455	23.43544	23.60846	24.11105
Myosin regulatory light chain 12A	MYL12A	26.76786	27.31982	25.99443	26.89666	27.03073	26.42941	25.42649	25.01727	26.40918	26.2922	26.04815	26.6884	26.1124	25.72684	25.8519	25.10527	25.65521	25.98971	25.71124	26.07184	25.64569	25.96112	25.65271	25.24113	26.07463	25.88814	26.487	26.71316	26.01548	26.2852	26.1501	25.84807
Isoform 2 of Hepatocyte growth factor-regulated tyrosine kinase substrate	HGS	23.89487	23.28178	18.87598	23.10131	23.73624	23.4496	19.26629	18.95288	23.46859	23.57819	23.36889	23.66928	22.97701	21.52899	23.61816	23.75431	21.25547	23.2327	23.37499	20.55669	23.41954	23.19728	23.61306	23.82767	19.96259	24.03513	24.11956	23.69611	23.20643	23.70238	23.65658	22.61726
Heterogeneous nuclear ribonucleoprotein D-like	HNRNPDL	26.19242	25.66241	27.49274	27.3813	26.2111	25.90862	20.8895	22.70153	25.31291	24.88505	24.1165	25.83696	22.782	23.80676	23.11633	18.12123	21.22001	25.44216	24.69769	24.93832	24.60869	20.17969	23.37813	22.14391	19.94026	24.72538	26.91105	26.83744	26.19244	25.46958	25.68758	24.61449
Exportin-1	XPO1	24.52618	24.02537	24.9538	26.1819	24.34738	23.64394	24.29358	24.23603	24.5831	24.11007	24.89587	24.59308	22.61993	23.6139	24.08823	23.35303	24.99434	23.90846	24.58761	24.7789	23.60032	24.33371	22.85578	23.43305	23.58599	24.53665	24.94685	24.26299	24.35077	23.62751	23.78069	24.16219
Synapsin-3	SYN3	21.33745	20.31219	18.92557	20.48522	19.14253	20.18326	19.59854	21.27058	22.48779	21.86494	23.2549	22.89118	22.93713	23.98539	24.26471	24.15692	22.39647	24.10184	23.9664	23.85577	24.78486	24.15589	24.12998	24.19984	23.4139	24.56991	23.25325	23.19325	23.14667	23.94894	23.48098	23.92794
"Isoform 2 of Spectrin beta chain, non-erythrocytic 2"	SPTBN2	24.79644	24.17807	24.82529	23.60039	24.33573	22.66499	22.37359	26.11464	25.9241	24.65836	25.25243	25.09982	25.62851	24.30896	25.58141	25.1586	26.48113	26.30655	26.0882	25.53547	26.01025	26.17301	25.99213	25.81955	22.77176	26.82021	26.90967	26.42542	26.79885	26.62944	26.40462	25.96056
Plexin-B2	PLXNB2	24.09739	25.10987	23.3334	24.0345	24.49975	24.30912	25.35891	21.15841	24.68623	24.77628	23.80394	24.13959	25.00253	24.22649	24.80746	24.36187	24.68217	24.5974	23.93313	24.22625	24.60889	24.20245	24.82518	23.93916	23.57034	25.1325	23.72828	23.82963	24.22845	23.79059	24.6117	24.29063
Kinesin-like protein KIF3B	KIF3B	20.0538	19.77712	23.39336	21.26506	21.92321	22.91008	21.04974	19.62549	21.5008	22.36914	23.50714	22.62741	22.95324	22.73569	23.40625	23.03877	20.67041	22.55132	23.08311	22.86563	22.61656	23.03355	22.94449	22.53424	22.4135	20.93743	21.79213	22.08336	19.99479	22.6311	22.29749	22.64797
Phosphoribosylformylglycinamidine synthase	PFAS	25.5562	24.6793	23.59427	24.89419	24.21714	22.98798	23.93388	23.5228	24.61737	24.71091	23.19465	24.8574	24.10609	23.81387	24.42049	22.98629	23.89704	24.2243	23.14225	22.85582	22.84364	23.66332	24.07874	23.74683	22.71154	23.79789	22.72051	23.67266	23.24096	23.63131	23.55602	23.58089
Isoform 1 of Serine/threonine-protein kinase DCLK1	DCLK1	26.69338	26.38741	26.085	26.68929	26.44464	27.00406	26.88363	27.0274	27.31752	27.66243	28.06678	26.86938	27.54926	28.00558	27.61026	27.72644	26.72567	27.72281	28.19856	27.97329	27.73375	28.60937	27.79624	27.8184	25.82302	26.89316	27.93106	27.18555	27.62817	28.04372	27.6287	27.90095
Secretory carrier-associated membrane protein 1 (Fragment)	SCAMP1	21.25718	19.62834	22.00426	22.51898	22.22282	23.43782	20.98573	18.9106	22.5986	22.43357	22.36725	22.36592	21.48709	22.44326	22.53785	22.20078	20.07997	21.84257	22.12724	22.80121	22.37097	21.96471	22.09896	22.55956	21.87069	22.5226	22.82346	24.11397	22.53484	22.39429	22.17369	22.6209
Actin-related protein 2/3 complex subunit 2	ARPC2	25.13412	25.18445	24.80309	25.32044	25.14048	25.58429	24.51102	23.98372	25.12855	25.25677	25.86521	25.85925	25.69787	26.2495	25.98359	25.76864	24.80959	24.8982	26.29819	26.3106	25.93285	26.87901	25.75899	25.56873	24.9762	25.42418	26.0987	25.90788	25.7589	25.424	25.58275	26.33679
Actin-related protein 2/3 complex subunit 3	ARPC3	26.02564	26.13746	25.89488	25.81511	26.10631	25.18473	26.30984	26.97497	26.65432	26.45527	26.52087	26.33131	26.41485	26.11503	26.61381	26.19111	27.72809	26.56579	26.38988	27.00586	26.33935	26.20525	26.40918	26.37418	26.9932	27.04389	26.13559	25.97485	26.33903	26.39687	26.43502	26.27844
Isoform 2 of DNA-directed RNA polymerases I and III subunit RPAC1	POLR1C	20.18132	20.33918	20.62901	21.02287	19.40445	20.6354	20.92169	19.62001	18.56653	20.22714	20.35524	18.7773	19.94466	20.75504	20.62899	19.48674	20.16857	19.99079	19.4215	19.17483	19.90102	19.08969	20.02486	20.21833	21.54257	20.58812	21.00909	19.82915	20.28093	19.28016	21.48225	19.56033
Membrane-associated progesterone receptor component 2	PGRMC2	25.61009	26.10351	25.33072	26.38575	25.68245	25.70681	24.97648	25.27065	25.74816	25.64462	25.42294	26.14686	25.37735	25.17865	25.65543	24.90329	26.11702	25.17113	24.97986	25.20537	24.96109	25.03736	25.23662	25.01967	25.78543	25.01338	25.10836	25.97626	25.26519	25.40482	25.71507	25.13725
Prefoldin subunit 6	PFDN6	25.45283	26.4754	25.50465	26.35735	25.99877	25.79128	25.58575	25.91291	26.22084	26.07894	25.39336	26.36376	25.64693	25.47645	25.31717	25.22239	26.61309	25.73217	25.34641	26.10013	25.53904	25.64833	25.44072	24.99627	26.45387	26.04908	25.06065	25.7852	25.77364	25.93012	25.75076	25.33834
Glutathione S-transferase A4	GSTA4	25.03977	25.11133	26.3752	23.18347	25.43295	25.41906	25.4645	25.90413	24.70906	25.01324	23.81878	22.24854	23.5466	23.24197	23.92154	22.82678	26.58791	24.21372	24.08646	23.33019	23.21298	23.24142	23.50795	22.73591	26.29757	25.77363	22.77674	23.43191	24.31412	22.7322	24.49431	22.89533
Neurosecretory protein VGF	VGF	22.06441	17.96716	17.95217	19.42715	20.8511	21.35499	20.55591	24.21661	22.2552	23.44402	21.19448	20.34755	23.06133	22.92196	24.40882	24.63796	24.09788	23.82995	21.41274	21.53454	22.80938	23.62809	23.91661	24.66996	22.37361	22.62413	21.63533	19.48681	22.04657	23.14228	23.68854	24.82502
Isoform 2 of Surfeit locus protein 4	SURF4	20.8271	20.27616	19.57808	20.05629	18.56816	19.80403	21.85079	21.95335	20.28695	18.57199	21.26674	18.57382	18.90695	19.9539	19.17392	18.9721	22.77054	17.98548	21.03577	21.41813	19.12145	20.66631	16.87179	20.0728	21.84869	22.77257	17.30916	19.72162	19.21855	20.61953	20.2218	20.58553
Serine palmitoyltransferase 1	SPTLC1	23.19416	22.09893	23.3418	23.96811	23.07316	23.2995	20.58194	20.52798	22.71442	22.62484	22.61018	23.46276	18.80572	23.17031	19.53141	19.18218	17.36467	20.12635	19.62621	23.38034	19.52996	22.37496	18.25457	18.25018	21.1352	21.28689	20.20678	19.57994	20.59505	23.09057	20.53557	22.4441
UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	OGT	24.51916	23.20074	23.13646	23.6661	22.84777	22.81538	23.06667	23.85199	24.84918	23.43068	22.45623	23.29599	23.14251	23.72781	23.50808	23.46676	23.71589	24.08071	22.775	23.48532	23.51617	23.78911	23.11313	24.04274	24.42846	25.53658	24.08418	23.99497	23.67668	23.31913	23.70938	23.16842
High mobility group protein B3 (Fragment)	HMGB3	25.44754	26.00721	26.44402	26.08244	26.29042	25.94659	23.91296	19.73697	24.90269	24.29551	20.7366	24.05904	23.59776	18.38176	20.65863	20.83769	23.9353	19.35706	23.35272	19.6607	21.19755	18.6952	19.11995	18.00989	23.81321	23.75942	24.98837	25.30758	24.43284	18.6408	24.64054	23.55859
Protein phosphatase 1G	PPM1G	23.69881	23.47152	23.61163	23.89833	23.41561	23.78216	23.46949	22.91578	23.61222	22.82988	22.96054	23.08499	22.63746	22.44023	20.51795	19.04082	23.35482	23.07607	22.78321	23.12901	22.88684	22.59468	20.70149	18.81667	23.3975	23.06197	24.06806	23.78628	24.09264	23.63064	24.08332	22.92316
Isoform 2 of Eukaryotic translation initiation factor 3 subunit D	EIF3D	24.08557	24.12471	24.60434	25.1595	23.5509	24.42549	21.29472	20.89731	23.46051	24.40711	23.97009	24.17229	24.34009	23.96834	20.36574	18.9586	23.78487	21.04404	23.76132	23.9898	23.12249	23.60693	18.64214	23.12074	23.45513	23.86547	24.81523	25.14972	24.86913	24.4859	23.65152	20.54368
Transcriptional repressor protein YY1 (Fragment)	YY1	23.08017	22.93113	22.59747	23.069	22.65497	22.92541	22.103	21.9241	21.20943	20.11655	19.49329	20.78126	20.12288	19.24011	19.74431	19.82853	22.66858	21.04086	19.41421	20.42501	20.01018	20.37294	21.05308	20.9636	22.85468	22.21917	21.34752	21.85174	21.2554	21.53474	19.5238	19.21731
Neural cell adhesion molecule 2	NCAM2	22.76308	23.45901	23.77474	23.72578	23.55625	24.18389	21.44173	24.11207	23.05401	18.27549	23.7636	23.18189	22.66498	23.87908	22.6481	25.72645	23.01057	23.12595	24.20874	23.86174	23.37725	23.54065	23.42833	25.16945	19.58947	22.72807	23.50905	24.02234	23.47035	23.60421	24.33397	24.5925
Isoform 2 of Syntaxin-7	STX7	25.62901	26.24903	25.189	25.95937	26.4359	26.40639	26.1195	25.43718	26.41067	26.34504	26.3951	26.79747	26.65434	26.74792	26.57234	26.36304	25.58066	26.27123	26.07806	26.50988	26.29998	26.21942	26.51376	27.24901	25.77337	25.56221	25.69687	26.57555	26.14527	26.32864	26.36948	26.39829
Calpain-5	CAPN5	21.33982	21.81141	21.00672	21.34051	21.15121	22.23917	22.06062	24.40523	21.85916	21.70974	21.76721	21.01294	22.50623	22.4761	19.24016	22.17295	23.19398	22.3335	22.38146	22.0396	22.03744	22.32504	22.80355	23.65049	22.86189	22.88608	25.06419	21.97175	22.11595	22.3302	22.8151	23.6075
Synaptobrevin homolog YKT6	YKT6	25.08778	25.30067	25.00827	25.78694	25.51325	25.32394	24.30656	24.83576	25.98212	26.03383	26.15274	26.3771	25.76553	26.26218	26.0945	26.17673	25.29254	25.61507	26.00067	26.44593	25.81274	26.24218	26.21074	25.97161	22.74588	23.5847	25.58333	25.86843	25.49717	25.73464	25.60183	25.56075
Actin-related protein 2/3 complex subunit 5	ARPC5	24.58032	24.80885	24.95279	25.63665	24.81236	25.53932	24.54646	25.14945	25.27799	25.15745	25.92926	25.90292	25.02422	26.15117	25.06325	25.4433	25.93306	25.18739	26.04985	26.17984	25.73524	26.37439	25.30614	25.23405	25.54708	25.83719	25.92055	25.96314	25.54177	26.33646	25.30531	25.24735
"Fatty acid-binding protein, brain"	FABP7	29.99366	30.30785	29.41083	29.82577	30.62177	30.29047	31.34077	30.88769	31.34898	31.60167	31.92818	32.3837	32.2112	31.51049	31.97833	30.57677	31.27753	31.98998	31.81361	31.75806	31.54124	31.04111	31.62052	30.31528	31.34266	31.85647	31.00535	30.70255	30.86372	30.58904	30.97963	30.11688
Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	DHX15	26.3983	25.88712	27.40974	27.75131	26.83656	27.01439	23.72095	24.7096	25.3081	24.92402	24.72881	25.86771	22.04911	23.36628	22.41599	20.51748	27.66187	25.15733	25.41267	24.13034	22.83041	23.73229	21.87466	21.42801	24.32812	26.68281	27.4068	26.70999	26.24427	25.85135	25.51509	24.55907
mRNA cap guanine-N7 methyltransferase	RNMT	22.56609	22.59478	23.93292	22.72109	22.71305	22.37535	23.13815	20.84266	22.21685	21.98947	21.3665	21.92369	22.61093	21.1197	19.44399	20.1247	23.54169	22.51	21.68447	21.71184	18.30149	20.90124	21.3303	18.85954	23.876	23.14606	23.65759	23.05565	23.11179	22.61103	22.65908	21.80562
D-3-phosphoglycerate dehydrogenase	PHGDH	28.85258	29.66017	28.71821	29.42028	28.65019	28.6413	28.74741	29.15554	28.20668	27.84192	27.3149	27.90378	27.02339	27.08318	27.33346	26.52851	27.82253	26.77868	25.86291	26.5659	25.49885	26.5463	26.1165	26.19295	27.49778	26.89395	24.94094	24.99478	25.67012	26.04022	25.98346	25.93839
Isoform 2 of Cytoplasmic dynein 1 light intermediate chain 2	DYNC1LI2	23.59332	24.54913	22.75819	23.15504	24.41216	23.14653	19.43362	22.32357	24.33837	24.70432	23.58335	24.12297	23.75349	23.01577	21.94442	23.35668	22.76211	23.78394	22.57059	23.88214	23.15288	22.91529	18.9102	23.78361	21.61663	22.69382	23.51674	22.88385	22.8433	22.37429	24.55432	22.88026
26S proteasome non-ATPase regulatory subunit 3	PSMD3	26.42617	26.03495	26.31855	26.29843	26.03971	26.01506	25.89206	26.21785	26.1256	25.45897	25.72754	26.20756	25.67568	25.83208	26.20183	24.23973	25.99822	25.90414	26.00881	25.57795	25.42479	25.21244	25.2886	25.45384	25.47353	26.53955	26.23384	26.29382	25.68834	25.95647	25.96568	26.12835
Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1	PAPSS1	22.53863	21.59432	21.66192	21.66573	21.72719	19.53794	18.6006	21.17438	19.67464	21.0432	20.87155	21.76887	18.40686	20.93632	20.67743	19.3737	22.38239	19.82428	20.17744	21.58595	19.8942	19.39069	20.8729	20.28601	22.59512	22.86965	22.5814	22.69492	22.20354	23.02034	21.35112	20.41555
Isoform 2 of SLIT-ROBO Rho GTPase-activating protein 3	SRGAP3	20.47646	19.73947	19.1538	19.05088	19.29204	18.06362	21.20419	19.95827	22.72279	23.05999	23.27118	23.62505	22.75474	23.26372	22.42957	23.34232	23.75373	22.89114	22.89473	23.62049	23.10639	24.29211	22.44239	22.91693	20.86283	23.37539	23.10891	23.40809	22.73494	22.66712	22.66932	23.21052
Heat shock 70 kDa protein 12A	HSPA12A	18.70074	21.57798	22.22853	22.42799	21.7473	19.91171	18.3526	24.34418	25.58083	25.15271	25.5527	25.09991	25.02319	25.2175	25.33032	25.52061	25.25798	25.40248	25.63755	26.39693	25.38655	25.63119	25.14009	25.86761	22.74832	25.11188	25.28711	25.60839	25.03862	24.87401	23.81176	25.63107
Isoform 2 of Eukaryotic translation elongation factor 1 epsilon-1	EEF1E1	23.84019	24.91249	22.69525	24.00949	24.56279	24.19588	22.89812	21.93357	23.69887	24.35219	21.91393	23.68416	22.33972	22.91004	22.26062	22.60131	22.42542	23.08968	22.2965	23.01754	21.82557	22.55573	21.8856	22.42258	23.37225	22.62751	23.48558	23.97362	23.8038	24.43382	24.15526	24.00519
RNA-binding protein Musashi homolog 1	MSI1	23.29958	23.1725	22.95884	23.87452	23.61899	23.09295	22.76751	21.70919	23.13669	22.70812	21.94389	23.57772	20.78435	21.66541	18.35268	20.35871	20.51113	21.90158	19.92941	20.39445	23.25	19.75645	19.38645	18.16581	22.73099	21.95936	21.55436	22.15416	22.72952	20.30313	19.98529	19.45831
Heterogeneous nuclear ribonucleoprotein R	HNRNPR	29.1899	28.85349	29.81305	29.68855	29.24599	28.75067	27.54278	26.4414	28.79934	27.67089	27.53643	28.37736	27.5857	26.59081	25.53725	22.52627	28.07278	28.27864	27.77837	27.6998	27.19488	25.86772	25.14983	25.45363	28.43635	28.02251	29.96999	29.9081	29.39086	28.79103	28.83001	27.74913
U4/U6 small nuclear ribonucleoprotein Prp3	PRPF3	21.90522	23.76182	23.00038	22.22505	22.54364	21.98221	22.7662	19.93673	21.6497	20.96866	19.12659	19.89151	19.05865	20.19054	18.62497	20.61371	21.57907	19.96443	19.61833	21.57103	19.95313	18.00534	20.03704	19.68059	21.10419	19.76174	22.15656	22.07314	21.60944	22.37026	21.08558	21.17597
Thioredoxin-like protein 1	TXNL1	25.96591	26.14132	26.12785	26.42691	26.66444	26.66553	26.59359	26.49346	26.0492	25.84361	25.69051	26.37419	25.80255	25.86563	25.74413	25.02813	26.48553	25.78403	25.66909	25.96505	25.39277	25.29273	25.49575	25.03155	27.15323	25.90829	25.96465	26.80719	26.00163	26.24751	25.94118	25.11271
Isoform 3 of Synaptojanin-1	SYNJ1	23.8207	23.44952	23.39407	22.92466	22.91314	22.54782	25.28264	27.24501	24.13954	23.66904	26.06531	23.32131	25.17915	25.23162	25.59783	26.40363	25.33201	24.79673	26.38516	25.27136	25.52204	25.51612	25.77549	26.17916	24.5254	25.8285	25.3301	24.2491	25.2369	24.56732	25.2348	26.03622
Isoform Short of Acidic fibroblast growth factor intracellular-binding protein	FIBP	19.75045	22.83277	20.8624	21.77471	21.19209	21.30106	21.05293	21.66426	22.09636	21.73958	22.03229	22.88692	22.78666	21.37323	20.83507	21.05253	22.30705	22.52703	20.91667	21.6252	21.37329	20.98256	20.81041	21.32318	22.61569	23.1305	20.66628	21.68675	22.18731	20.28085	20.61266	21.32698
